#{"t_start": 1563633476.40666, "env_id": "CarRacing-v1"}
r,l,t
2873.737778,84,4408.822335
2963.46,84,4409.257169
2875.537778,88,4410.146795
3364.96,84,4411.014436
2762.726667,86,4411.459247
3493.351111,84,4412.313015
3565.16,85,4413.190612
3042.26,89,4413.655044
2690.273333,84,4414.507772
3109.333333,88,4415.405338
3346.804444,86,4415.867103
3529.751111,86,4416.736778
2968.726667,116,4417.7662
3406.373333,93,4418.692678
3020.011111,83,4419.121529
-1312.433333,83,4420.002175
3163.126667,85,4420.882823
3569.193333,101,4421.404533
3058.16,87,4422.285178
2767.693333,104,4423.246612
3565.493333,83,4424.124305
3049.933333,96,4424.618986
2971.026667,89,4425.50857
3577.426667,135,4426.637629
3350.74,83,4427.558189
3566.593333,92,4428.115727
-2317.533333,92,4429.018285
3565.626667,87,4429.896935
3563.96,80,4430.337832
3152.14,88,4431.267273
3456.526667,81,4432.172853
3093.451111,91,4433.074516
3092.94,85,4433.510313
3564.126667,82,4434.361044
3136.573333,85,4434.801861
3055.026667,80,4435.642577
3563.926667,82,4436.492379
3365.893333,89,4436.955103
3009.217778,87,4437.858652
3366.393333,91,4438.76726
3565.793333,85,4439.213031
3566.226667,87,4440.100697
3565.226667,84,4440.970412
2315.673333,78,4441.375322
3457.493333,84,4442.236948
3566.093333,87,4443.112667
3563.36,80,4443.528529
2479.571111,107,4444.511903
3568.126667,96,4445.442413
2942.226667,90,4446.346022
2845.9,86,4446.791845
3291.077778,87,4447.683422
3566.326667,92,4448.584052
2927.704444,86,4449.029823
3565.993333,86,4449.934425
3092.54,85,4450.813055
-1310.933333,87,4451.2828
3365.26,89,4452.195355
3352.873333,86,4453.074975
-1311.7,86,4453.523809
3493.617778,88,4454.406454
3365.593333,86,4455.290088
2866.8,86,4456.166783
2710.637778,95,4456.663455
3351.106667,84,4457.613841
2930.604444,99,4458.636107
-1709.833333,89,4459.095915
-1112.466667,83,4459.95267
2607.851111,94,4460.903085
3565.193333,87,4461.355913
3351.706667,88,4462.237554
2768.36,86,4463.133114
3167.36,102,4464.088532
3365.06,87,4464.550332
3365.826667,86,4465.44594
3022.306667,117,4466.488118
3166.826667,104,4467.456555
3565.993333,97,4467.963208
3365.026667,86,4468.834878
3334.184444,101,4469.795276
-1304.733333,120,4470.879377
2726.704444,97,4471.857687
2763.06,105,4472.398276
-1097.866667,185,4474.234333
3512.766667,95,4475.156902
3398.593333,206,4476.645947
3577.473333,268,4478.920855
3076.344444,92,4479.855306
3371.226667,113,4480.898518
-1087.166667,209,4482.854464
3576.526667,147,4484.079194
3601.56,268,4486.340115
3566.46,97,4487.300512
2614.006667,183,4488.80053
3151.204444,435,4492.367035
-1711.8,97,4493.297508
2763.626667,94,4494.24402
3437.544444,143,4495.408867
2908.944444,90,4496.326383
3163.793333,87,4496.773227
3577.96,148,4498.389943
3565.226667,89,4498.847724
3367.36,94,4499.757264
3565.726667,90,4500.658929
2236.884444,90,4501.139599
3387.371111,90,4502.032256
3197.86,106,4503.009596
3153.326667,188,4504.444735
3172.293333,124,4505.548783
3538.273333,96,4506.485316
3213.404444,95,4507.404851
3915.726667,1000,4515.997847
2453.917778,935,4524.020421
3134.406667,77,4524.852208
3579.46,151,4526.052006
-1110.066667,91,4526.536741
3301.993333,102,4527.48617
2849.517778,89,4528.367808
3566.16,98,4529.301352
2812.171111,91,4529.775017
3388.671111,94,4530.683657
2516.077778,133,4531.802597
3164.26,96,4532.71918
3017.573333,90,4533.627791
3089.773333,113,4534.654049
3369.56,110,4535.249454
2855.704444,92,4536.147012
2589.393333,200,4538.046941
3074.437778,90,4538.524702
2714.206667,225,4540.639973
3372.926667,132,4541.753025
3569.993333,109,4542.750358
2585.8,170,4544.106739
3378.637778,120,4545.168864
2883.011111,124,4546.240001
2865.5,84,4547.147575
3542.273333,101,4548.229748
3202.026667,229,4549.830828
3117.271111,124,4550.900003
2869.866667,121,4551.958141
-1305.533333,125,4553.039249
3567.893333,119,4554.104401
3516.96,1000,4562.798304
3564.993333,87,4563.685975
3569.293333,101,4564.64238
3022.64,127,4565.78928
-1069.362222,1000,4574.041247
3458.026667,88,4574.929846
3185.893333,187,4576.778903
2619.173333,121,4577.506957
2453.817778,148,4579.197458
3147.506667,124,4580.285573
3543.706667,124,4581.385613
3565.46,87,4581.862346
3167.66,107,4582.843715
3177.626667,166,4584.130322
3120.517778,199,4586.040179
3425.477778,106,4587.034486
3036.66,121,4588.129587
2792.026667,181,4589.523397
2456.666667,143,4590.705455
2815.473333,79,4591.540193
3408.46,228,4593.620488
3408.16,236,4595.269116
3564.326667,86,4596.136762
2968.426667,114,4597.160061
2304.873333,158,4598.410722
3577.626667,146,4599.590573
3567.326667,96,4600.507109
3563.66,81,4601.354847
-1308.233333,112,4602.362194
3524.304444,123,4603.42835
3544.14,105,4603.973884
3572.026667,167,4605.692291
3166.36,101,4606.638687
3575.76,164,4608.060884
3566.293333,99,4609.036313
2538.773333,95,4609.549905
3574.86,170,4611.290287
2862.471111,120,4612.332466
3495.54,137,4613.473415
2795.893333,230,4615.083138
3388.673333,267,4617.773341
2315.171111,130,4618.917283
2280.726667,1000,4627.115321
4637.74,1000,4635.785275
4702.993333,1000,4644.636642
4600.726667,1000,4653.300447
